Référence;Désignation;Fournisseur;Fabricant;Catégorie;Tarif approximatif;CONCAT;Clé_Réf;Code interne;Note;SH Code;Poids unitaire;Conditionnement;Poids;Unité poids;PCB;Poids emballage;Mode de colisage
CAFTTH4SCA-30DTMPE;Câble abonné FTTH gaine PE+LSZ 30M - 1 SCA / nu G657 + DTiO;Xeilom;;Fibre Optique;59,77263158;CAFTTH4SCA-30DTMPE;CAFTTH4SCA-30DTMPE;;;;;;;;;;
CAFTTH4SCA-30PTOPE;Câble FTTH SEMI-LIBRE -PE EXTE 30M - 4 SCA / nu G657 + DTiO;Xeilom;;Fibre Optique;59,77263158;CAFTTH4SCA-30PTOPE;CAFTTH4SCA-30PTOPE;;;;;;;;;;
CAFTTH4SCA-50DTMPE;Câble abonné FTTH gaine PE+LSZ 50M - 4 SCA / nu G657 + DTiO;Xeilom;;Fibre Optique;72,41684211;CAFTTH4SCA-50DTMPE;CAFTTH4SCA-50DTMPE;;;;;;;;;;
CAFTTH4SCA-50PTOPE;Câble FTTH SEMI-LIBRE -PE EXTE 50M - 4 SCA / nu G657 + DTiO;Xeilom;;Fibre Optique;72,41684211;CAFTTH4SCA-50PTOPE;CAFTTH4SCA-50PTOPE;;;;;;;;;;
CAFTTH4SCA-70DTMPE;Câble abonné FTTH gaine PE+LSZ 70M - 4 SCA / nu G657 + DTiO;Xeilom;;Fibre Optique;113,7978947;CAFTTH4SCA-70DTMPE;CAFTTH4SCA-70DTMPE;;;;;;;;;;
CAFTTH4SCA-70PTOPE;Câble FTTH SEMI-LIBRE -PE EXTE 70M - 4 SCA / nu G657 + DTiO;Xeilom;;Fibre Optique;113,7978947;CAFTTH4SCA-70PTOPE;CAFTTH4SCA-70PTOPE;;;;;;;;;;
CAFTTH4SCASL-100DT;LIAISON ABON. PRÉ-CABLÉE PTO MODULAIRE SC/APC - 4 FO - 100M;Xeilom;;Fibre Optique;86,21052632;CAFTTH4SCASL-100DT;CAFTTH4SCASL-100DT;;;;;;;;;;
CAFTTH4SCASL-100PT;LIAISON ABON. PRÉ-CABLÉE RECT. PTO + SC/APC - 4 FO - 100M;Xeilom;;Fibre Optique;86,21052632;CAFTTH4SCASL-100PT;CAFTTH4SCASL-100PT;;;;;;;;;;
CASSETTE;Cassette de lovage 12 FO Blanc;Atech;;Fibre Optique;;CASSETTE;CASSETTE;;;;;;;;;;
CDC0000007;Pigtail Os2 Momode APC 2m;CADistribution;;Fibre optique;5,49;CDC0000007;CDC0000007;;;;;;;;;;
CDC12SCEXT;Boitier FTTH mural exterieur 12 fibres SC ou SCAPC simplex;Comptoir du Cabling;;Fibre Optique;24,9;CDC12SCEXT;CDC12SCEXT;;;;;;;;;;
CDC2070574;Jarretière optique SC/LC duplex monomode 9/125-2m;XEFI;;Fibre Optique;13,4;CDC2070574;CDC2070574;;;;;;;;;;
CFK1000/6704;Kit d'entretien pour soudeuse;Atech;;Fibre Optique;;CFK1000/6704;CFK1000/6704;;;;;;;;;;
CK6AKEY;Connecteur RJ45 Cat6A STP Keystone  / Schneider;ATECH;Schneider Electric;Fibre optique;4,37;CK6AKEY;CK6AKEY;;;85369010;;;;;;;
CM144-4/50%-100M;COLONNE MONTANTE 144FO PRÉCONNECTÉE À 50% - 100M;Xeilom;;Fibre Optique;1357,710038;CM144-4/50%-100M;CM144-4/50%-100M;;;;;;;;;;
CM144-4/50%-10M;COLONNE MONTANTE 144FO PRÉCONNECTÉE À 50% - 10M;Xeilom;;Fibre Optique;555,4268337;CM144-4/50%-10M;CM144-4/50%-10M;;;;;;;;;;
CM144-4/50%-150M;COLONNE MONTANTE 144FO PRÉCONNECTÉE À 50% - 150M;Xeilom;;Fibre Optique;1789,708686;CM144-4/50%-150M;CM144-4/50%-150M;;;;;;;;;;
CM144-4/50%-50M;COLONNE MONTANTE 144FO PRÉCONNECTÉE À 50% - 50M;Xeilom;;Fibre Optique;975,0826636;CM144-4/50%-50M;CM144-4/50%-50M;;;;;;;;;;
CM24-4/50%-100M;COLONNE MONTANTE 24FO PRECONNECTÉE À 50% - 100M;Xeilom;;Fibre Optique;545,2685167;CM24-4/50%-100M;CM24-4/50%-100M;;;;;;;;;;
